,#Niveles,Nmodel,a(m),b(m),h(m),t(m),Lm(m),V(kN),Δmax(‰),VolConc(m3)
0,5.0,1,0.49999999999999994,0.25,0.5499999999999999,0.25,1.0,1600.3896986212317,5.7396210972633375,213.75
1,5.0,37,0.49999999999999994,0.25,0.5499999999999999,0.25,1.25,1799.864328560626,5.278760515797631,221.25
2,5.0,135,0.49999999999999994,0.25,0.5499999999999999,0.25,1.5,1852.1204956755844,4.889355413849856,228.75
3,5.0,341,0.6,0.25,0.7500000000000001,0.25,1.75,2573.761948977177,3.053054838340853,317.5
4,5.0,591,0.6,0.25,0.8000000000000002,0.25,2.0,2573.5866181200004,2.456710394948815,335.0
5,5.0,839,0.6,0.25,0.7500000000000001,0.25,2.25,2584.176693527074,2.3594515849643205,332.5
6,5.0,1088,0.6,0.25,0.7500000000000001,0.25,2.5,2830.970887917347,2.049055224350386,340.0
7,6.0,1,0.49999999999999994,0.25,0.5499999999999999,0.25,1.0,2092.634102225278,5.18337769273534,256.5
8,6.0,37,0.49999999999999994,0.25,0.5499999999999999,0.25,1.25,1712.104343944022,5.640914591620791,265.5
9,6.0,135,0.49999999999999994,0.25,0.5499999999999999,0.25,1.5,1911.8350626008341,5.211691984244684,274.5
10,6.0,307,0.49999999999999994,0.25,0.5499999999999999,0.25,1.75,1961.9124806070263,4.771807543870584,283.5
11,6.0,564,0.5499999999999999,0.25,0.5499999999999999,0.25,2.0,2106.6437828809217,4.117775373587337,316.14
12,6.0,962,0.7500000000000001,0.25,0.5499999999999999,0.25,2.25,2670.4775976268643,3.8375195078763475,442.14
13,7.0,1,0.49999999999999994,0.25,0.5499999999999999,0.25,1.0,1555.8866827196398,6.316548321562316,299.25
14,7.0,37,0.49999999999999994,0.25,0.5499999999999999,0.25,1.25,1734.0415559994706,5.952579969877424,309.75
15,7.0,135,0.49999999999999994,0.25,0.5499999999999999,0.25,1.5,1901.2487592294663,5.4878875876786015,320.25
16,7.0,307,0.49999999999999994,0.25,0.5499999999999999,0.25,1.75,1961.4108705580425,5.008571325807298,330.75
17,7.0,556,0.49999999999999994,0.25,0.5499999999999999,0.25,2.0,1945.0970878292653,4.536331242615017,341.25
18,7.0,813,0.5499999999999999,0.25,0.5499999999999999,0.25,2.25,2352.646202562271,4.2177950940085704,379.33
19,7.0,1165,0.7000000000000001,0.25,0.5499999999999999,0.25,2.5,3157.9647211339056,3.7456923064029937,488.25
20,8.0,1,0.49999999999999994,0.25,0.5499999999999999,0.25,1.0,1681.484026654966,6.59026746616275,342.0
21,8.0,37,0.49999999999999994,0.25,0.5499999999999999,0.25,1.25,1734.7343274641112,6.189848879641409,354.0
22,8.0,135,0.49999999999999994,0.25,0.5499999999999999,0.25,1.5,1912.7627498513232,5.699702705758914,366.0
23,8.0,307,0.49999999999999994,0.25,0.5499999999999999,0.25,1.75,1976.4222640957219,5.225269983399192,378.0
24,8.0,556,0.49999999999999994,0.25,0.5499999999999999,0.25,2.0,2266.101649316881,3.8652464202514456,390.0
25,8.0,806,0.49999999999999994,0.25,0.6,0.25,2.25,2338.430847021963,4.26487913062452,418.0
26,8.0,1064,0.5499999999999999,0.25,0.65,0.25,2.5,2674.6449801833155,3.660652629283898,477.52
27,9.0,1,0.49999999999999994,0.25,0.5499999999999999,0.25,1.0,1719.98302823532,6.801751653571323,384.75
28,9.0,37,0.49999999999999994,0.25,0.5499999999999999,0.25,1.25,1771.3417653724528,6.37899381177325,398.25
29,9.0,135,0.49999999999999994,0.25,0.5499999999999999,0.25,1.5,1952.4037177951968,5.869247467493327,411.75
30,9.0,307,0.49999999999999994,0.25,0.5499999999999999,0.25,1.75,1950.5252559540272,5.483029241756377,425.25
31,9.0,556,0.49999999999999994,0.25,0.5499999999999999,0.25,2.0,2240.3367155702367,4.026640145499649,438.75
32,9.0,806,0.49999999999999994,0.25,0.6,0.25,2.25,2337.629084990512,4.4487339490925555,470.25
33,9.0,1063,0.5499999999999999,0.25,0.6,0.25,2.5,2629.449129097225,4.0417087301948635,519.21
34,10.0,1,0.49999999999999994,0.25,0.5499999999999999,0.25,1.0,1674.4530611318992,6.986211404478334,427.5
35,10.0,37,0.49999999999999994,0.25,0.5499999999999999,0.25,1.25,1834.5107794758337,6.578075981584097,442.5
36,10.0,135,0.49999999999999994,0.25,0.5499999999999999,0.25,1.5,1952.524785751112,6.093988928899056,457.5
37,10.0,307,0.49999999999999994,0.25,0.5499999999999999,0.25,1.75,1964.398298646347,5.694660695751182,472.5
38,10.0,556,0.49999999999999994,0.25,0.5499999999999999,0.25,2.0,2366.634918825822,4.232851094143158,487.5
39,10.0,805,0.49999999999999994,0.25,0.5499999999999999,0.25,2.25,2186.289968843384,4.869065683836143,502.5
40,10.0,1063,0.5499999999999999,0.25,0.6,0.25,2.5,2531.360625386574,4.1722895823305,576.9
